,Star Name,Distance,Mass,Radius
190,WISE 0008-1739,WISE 0008-1739,WISE 0008-1739,WISE 0008-1739
191,WISE 0015-4615,WISE 0015-4615,WISE 0015-4615,WISE 0015-4615
192,WISE 0031-3840,WISE 0031-3840,WISE 0031-3840,WISE 0031-3840
193,WISE 0032-4946,WISE 0032-4946,WISE 0032-4946,WISE 0032-4946
194,WISE 0038+2758,WISE 0038+2758,WISE 0038+2758,WISE 0038+2758
195,WISE 0038+8405,WISE 0038+8405,WISE 0038+8405,WISE 0038+8405
196,WISE 0040+0900,WISE 0040+0900,WISE 0040+0900,WISE 0040+0900
197,WISE 0049+0441,WISE 0049+0441,WISE 0049+0441,WISE 0049+0441
198,WISE 0049+2151,WISE 0049+2151,WISE 0049+2151,WISE 0049+2151
199,WISE 0106+1518,WISE 0106+1518,WISE 0106+1518,WISE 0106+1518
200,WISE 0123+4142,WISE 0123+4142,WISE 0123+4142,WISE 0123+4142
201,WISE 0135+1715,WISE 0135+1715,WISE 0135+1715,WISE 0135+1715
202,WISE 0138-0322,WISE 0138-0322,WISE 0138-0322,WISE 0138-0322
203,WISE 0146+4234,WISE 0146+4234,WISE 0146+4234,WISE 0146+4234
204,WISE 0148-7202,WISE 0148-7202,WISE 0148-7202,WISE 0148-7202
205,WISE 0150+3827,WISE 0150+3827,WISE 0150+3827,WISE 0150+3827
206,WISE 0206+2640,WISE 0206+2640,WISE 0206+2640,WISE 0206+2640
207,WISE 0221+3842,WISE 0221+3842,WISE 0221+3842,WISE 0221+3842
208,WISE 0223-2932,WISE 0223-2932,WISE 0223-2932,WISE 0223-2932
209,WISE 0226-0211,WISE 0226-0211,WISE 0226-0211,WISE 0226-0211
210,WISE 0241-3653,WISE 0241-3653,WISE 0241-3653,WISE 0241-3653
211,WISE 0245-3450,WISE 0245-3450,WISE 0245-3450,WISE 0245-3450
212,WISE 0247+3725,WISE 0247+3725,WISE 0247+3725,WISE 0247+3725
213,WISE 0305+3954,WISE 0305+3954,WISE 0305+3954,WISE 0305+3954
